All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,Facebook,Instagram,LinkedIn,LinkedIn,Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),YouTube,YouTube,YouTube,TikTok,TikTok,TikTok,TikTok,TikTok,TikTok,TikTok,Community,Community,Pinterest,Pinterest
postAtSpecificTime (YYYY-MM-DD HH:mm:ss),content,OGmetaUrl (url),imageUrls (comma-separated),gifUrl,videoUrls (comma-separated),thumbnailUrl,mediaOptimization (true/false),applyWatermark (true/false),tags (comma-separated),category,followUpComment,type (post/story/reel),type (post/story/reel),pdfTitle,postAsPdf (true/false),eventType (call_to_action/event/offer),actionType (none/order/book/shop/learn_more/call/sign_up),title,offerTitle,startDate (YYYY-MM-DD HH:mm:ss),endDate (YYYY-MM-DD HH:mm:ss),termsConditions,couponCode,redeemOnlineUrl,actionUrl,title,privacyLevel (private/public/unlisted),type (video/short),privacyLevel (everyone/friends/only_me),promoteOtherBrand (true/false),enableComment (true/false),enableDuet (true/false),enableStitch (true/false),videoDisclosure (true/false),promoteYourBrand (true/false),title,notifyAllGroupMembers (true/false),title,link
2026-10-30 12:00:00,"Pusiste un chatbot. No tienes IA. Tienes un contestador caro.

Un bot sin contexto ni proceso responde rápido y mal. La diferencia entre un contestador y un agente es el criterio detrás.

Carrusel. Deslízalo.

#SoyIA #CriterioPrimero #MitosDeIA #AutomatizacionConCriterio #IAparaPymes #PymesPanama #NegociosLATAM #AutomatizacionSinHumo #IAaplicada",,"https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/mito-07-slide-1.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/mito-07-slide-2.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/mito-07-slide-3.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/mito-07-slide-4.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/mito-07-slide-5.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/mito-07-slide-6.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/mito-07-slide-7.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/mito-07-slide-8.png",,,,TRUE,FALSE,"soyia,carrusel,mito",Mitos IA,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-02 08:30:00,"API: Application Programming Interface: puente que permite que dos sistemas se comuniquen y se envíen información.

La automatización empieza cuando las herramientas dejan de vivir como islas.

#SoyIA #CriterioPrimero #DiccionarioIA #IAaplicada #AutomatizacionConCriterio #PymesPanama #NegociosLATAM #AprenderIA #ProcesoPrimero",,https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/termino-22.png,,,,TRUE,FALSE,"soyia,termino,diccionario",Términos,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-03 11:30:00,"49% de las conversaciones en Copilot apoyan trabajo cognitivo: análisis, decisiones y pensamiento creativo.

La IA ya no es solo “escríbeme un texto”. Está entrando en decisiones.

[FUENTE: Microsoft Work Trend Index 2026]

#SoyIA #CriterioPrimero #DatosDeIA #IAaplicada #AutomatizacionConCriterio #PymesPanama #NegociosLATAM #TransformacionDigital #ProductividadConCriterio",,https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/dato-22.png,,,,TRUE,FALSE,"soyia,dato,cifra",Datos IA,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-04 08:30:00,"Un algoritmo no es neutral solo porque venga vestido de matemática.

En la Biblioteca SoyIA: «Weapons of Math Destruction», de Cathy O’Neil. Sesgo, algoritmos y datos.

#SoyIA #CriterioPrimero #BibliotecaSoyIA #LecturasDeIA #IAaplicada #AutomatizacionConCriterio #PymesPanama #NegociosLATAM #LiderazgoYDatos",,https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/libro-22.png,,,,TRUE,FALSE,"soyia,biblioteca,libro",Biblioteca,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-05 11:30:00,"Llegan leads de Instagram, del portal, de la web y de WhatsApp. Cada uno en su lado. Algunos se pierden.

Cinco canales sin un solo lugar que los unifique no es estar disponible. Es estar disperso. SoyIA junta todos los leads en un solo flujo.

#SoyIA #CriterioPrimero #RealEstate #BienesRaices #AutomatizacionConCriterio #SeguimientoComercial #PymesPanama #NegociosLATAM #IAaplicada",,"https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-22-slide-1.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-22-slide-2.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-22-slide-3.png",,,,TRUE,FALSE,"soyia,carrusel,real-estate",Casos por vertical,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-09 08:30:00,"Guardrails: Reglas, límites y controles que ayudan a una IA a no salirse del tono, el objetivo, la información permitida o su responsabilidad.

Darle IA a un negocio sin límites es como darle llaves a alguien que no sabe dónde queda la casa.

#SoyIA #CriterioPrimero #DiccionarioIA #IAaplicada #AutomatizacionConCriterio #PymesPanama #NegociosLATAM #AprenderIA #ProcesoPrimero",,https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/termino-23.png,,,,TRUE,FALSE,"soyia,termino,diccionario",Términos,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-10 11:30:00,"15× crecieron los agentes activos en Microsoft 365 año contra año; en grandes empresas, 18×.

La adopción de agentes se acelera. La pregunta es quién los gobierna.

[FUENTE: Microsoft Work Trend Index 2026]

#SoyIA #CriterioPrimero #DatosDeIA #IAaplicada #AutomatizacionConCriterio #PymesPanama #NegociosLATAM #TransformacionDigital #ProductividadConCriterio",,https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/dato-23.png,,,,TRUE,FALSE,"soyia,dato,cifra",Datos IA,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-11 08:30:00,"El poder de la IA obliga a algo incómodo: pensar antes de soltarla.

En la Biblioteca SoyIA: «The Coming Wave», de Mustafa Suleyman y Michael Bhaskar. Tecnología, poder y contención.

#SoyIA #CriterioPrimero #BibliotecaSoyIA #LecturasDeIA #IAaplicada #AutomatizacionConCriterio #PymesPanama #NegociosLATAM #LiderazgoYDatos",,https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/libro-23.png,,,,TRUE,FALSE,"soyia,biblioteca,libro",Biblioteca,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-12 11:30:00,"Hace un año alguien dijo ""todavía no es el momento"". Hoy quizás sí. Nadie volvió a preguntarle.

El ""no ahora"" no es un ""no"". Es un ""después"". SoyIA recuerda esos contactos y los retoma cuando el momento llega.

#SoyIA #CriterioPrimero #RealEstate #BienesRaices #AutomatizacionConCriterio #SeguimientoComercial #PymesPanama #NegociosLATAM #IAaplicada",,"https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-23-slide-1.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-23-slide-2.png, https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/caso-23-slide-3.png",,,,TRUE,FALSE,"soyia,carrusel,real-estate",Casos por vertical,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-16 08:30:00,"Human-in-the-loop: Diseño donde la IA ayuda, pero una persona valida, supervisa o decide en los momentos importantes.

La IA puede acelerar el trabajo. El humano debe seguir cuidando el significado.

#SoyIA #CriterioPrimero #DiccionarioIA #IAaplicada #AutomatizacionConCriterio #PymesPanama #NegociosLATAM #AprenderIA #ProcesoPrimero",,https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/termino-24.png,,,,TRUE,FALSE,"soyia,termino,diccionario",Términos,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-17 11:30:00,"60% de su semana dedican los vendedores a tareas que no son vender; solo 40% va a vender.

El problema comercial no suele ser falta de talento. Es exceso de fricción.

[FUENTE: Salesforce · State of Sales 2026]

#SoyIA #CriterioPrimero #DatosDeIA #IAaplicada #AutomatizacionConCriterio #PymesPanama #NegociosLATAM #TransformacionDigital #ProductividadConCriterio",,https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/dato-24.png,,,,TRUE,FALSE,"soyia,dato,cifra",Datos IA,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-11-18 08:30:00,"La IA no es solo una herramienta de trabajo. Es una capa nueva de cómo decidimos.

En la Biblioteca SoyIA: «The Age of AI», de Henry Kissinger, Eric Schmidt y Daniel Huttenlocher. IA, geopolítica y futuro humano.

#SoyIA #CriterioPrimero #BibliotecaSoyIA #LecturasDeIA #IAaplicada #AutomatizacionConCriterio #PymesPanama #NegociosLATAM #LiderazgoYDatos",,https://raw.githubusercontent.com/abolivar/soyia-rrss/main/images/libro-24.png,,,,TRUE,FALSE,"soyia,biblioteca,libro",Biblioteca,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,
